User,Tweet Count,Tweet Text,Date,Compound,Positive,Neutral,Negative
@BBC,77,RT @bbcrb: Lovely slice of ballooning history here from #BluePeter! ? https://t.co/ZtCguwpfpu,2018-02-01 08:52:34+00:00,0.6239,0.29,0.0,0.71
@BBC,78,"RT @CBeebiesHQ: Roses are green, ?
Violets are green. ?
Everything is burning. ?
Wildfire. ?

Natalie Dormer's #BedtimeStory is 14th Februa…",2018-02-01 08:51:07+00:00,0.0,0.0,0.0,1.0
@BBC,79,Safwan faces a race against time to be reunited with his wife and see the birth of his son. https://t.co/z5u5OzEcYi,2018-02-01 08:40:01+00:00,0.0,0.0,0.0,1.0
@BBC,80,"??? Why do paper cuts hurt so much? 
? https://t.co/QT6Yr07P0u https://t.co/EeeStLFMJ6",2018-02-01 08:20:08+00:00,-0.6808,0.0,0.412,0.588
@BBC,81,"??? Well, that's one way to wake yourself up. https://t.co/t8JXO1QUBN",2018-02-01 08:00:03+00:00,0.2732,0.189,0.0,0.811
@BBC,82,"??? Beautiful places that have inspired beautiful music.
? https://t.co/zUn7ChAfN8 https://t.co/7PHYlt0RCk",2018-02-01 07:38:11+00:00,0.9001,0.611,0.0,0.389
@BBC,83,"RT @bbcworldservice: The Lego brick, one of the world's most popular toys, celebrates its 60th birthday. We held a rare interview with Lego…",2018-01-31 20:55:48+00:00,0.7939,0.261,0.0,0.739
@BBC,84,"RT @BBCOne: ? #WondersOfTheMoon where you are! 
https://t.co/oEiK0KVLXG",2018-01-31 20:54:41+00:00,0.0,0.0,0.0,1.0
@BBC,85,"???? Find out how the moon shapes life on Earth and explore its mysterious dark side.

#WondersOfTheMoon | 9pm |… https://t.co/fiCUJ0hHFA",2018-01-31 20:05:02+00:00,0.0,0.0,0.0,1.0
@BBC,86,"RT @BBC_Teach: Teaching Shakespeare to 7-14 year-olds? Want to simplify complex plots?

Check out our retelling of Shakespeare's classic pl…",2018-01-31 19:05:35+00:00,0.168,0.08,0.0,0.92
@BBC,87,RT @bbcrb: Now Braille readers can enjoy e-reading too! https://t.co/rtr6sLq4ye,2018-01-31 19:04:29+00:00,0.5411,0.28,0.0,0.72
@BBC,88,"If you're going to blow up @TomCruise, it's best you get your timing right. 

#TheGNShow https://t.co/xyCbrUsAz8",2018-01-31 19:00:08+00:00,0.6369,0.219,0.0,0.781
@BBC,89,"?? Did you know the moon is shaped like an egg?

Here are nine out of this world facts about the Moon. 
?… https://t.co/UvUrI8Fr4k",2018-01-31 18:30:12+00:00,0.3612,0.098,0.0,0.902
@BBC,90,"Researchers analysed over 1,000 raw foods and ranked the ingredients that provide the best nutritional balance. 

?… https://t.co/mZgETrGKcO",2018-01-31 18:00:05+00:00,0.6369,0.198,0.0,0.802
@BBC,91,"? At 105, Jack Reynolds is Britain's oldest (and coolest!) daredevil.  https://t.co/MpSzycE9eL",2018-01-31 17:30:07+00:00,0.2003,0.152,0.0,0.848
@BBC,92,"? 6 extraordinary facts about music in North Korea. 
? https://t.co/cAfwpmQgk0 https://t.co/atg4zUDjpq",2018-01-31 17:00:10+00:00,0.0,0.0,0.0,1.0
@BBC,93,"?? The best #SuperBlueBloodMoon viewing time will be at dusk when the moon is low, near the horizon.… https://t.co/y9OJ1BQCTx",2018-01-31 14:31:02+00:00,0.4767,0.18,0.09,0.73
@BBC,94,"?? From banana toast to Buddha bowls, here's how you can fuel your fitness with food. 
? https://t.co/Iz938YLRIK https://t.co/h6fSLSy4cy",2018-01-31 14:02:04+00:00,0.2732,0.11,0.0,0.89
@BBC,95,"RT @bbcthree: “What’s it like to see the world in widescreen?”

Things definitely NOT to say to East Asians. https://t.co/0RTvmX9e3w",2018-01-31 14:01:04+00:00,0.6369,0.224,0.0,0.776
@BBC,96,RT @BBCTwo: When it's #TransferDeadlineDay and you're waiting for your team to sign ANYONE... ? https://t.co/1WrEIE23Ls,2018-01-31 13:58:03+00:00,0.0,0.0,0.0,1.0
@BBC,97,Meet Tallulah - the tortoise who escaped and went on the run for six months. ? https://t.co/kbi6xI6zGY,2018-01-31 13:31:02+00:00,0.0,0.0,0.0,1.0
@BBC,98,"? It's been 10 years since Heath Ledger's death at age 28. 
? Test your knowledge of his brief but brilliant film c… https://t.co/yiF5xZIohP",2018-01-31 13:00:06+00:00,0.5789,0.188,0.089,0.723
@BBC,99,"?? Welcome to the UK's largest forest, stretching over 300 square miles. 

#TheForest | Now on @BBCiPlayer https://t.co/FgsadpjI8d",2018-01-31 12:30:04+00:00,0.4588,0.158,0.0,0.842
@CBS,0,RT @swatcbs: ?@TheTalkCBS' @TheRealEve and @ShemarMoore brought some serious heat to the GRAMMYs red carpet: https://t.co/WYTITKkLQd https:…,2018-02-02 22:36:13+00:00,-0.0772,0.0,0.075,0.925
@CBS,1,"The all-star collaboration between @Rihanna, @DJKhaled and @brysontiller brought the party to the #GRAMMYs with a s… https://t.co/jTv5QbtgUp",2018-02-02 20:07:40+00:00,0.4019,0.144,0.0,0.856
@CBS,2,RT @TheTalkCBS: All the #redcarpet looks from the 60th annual #GRAMMYs! Did you catch @TheRealEve's sparkly two-piece suit? Diamond accents…,2018-02-02 19:03:33+00:00,0.4003,0.124,0.0,0.876
